date,period,year,quarter,realgdp,realcons,realinv,realgovt,realdpi,cpi,m1,tbilrate,unemp,pop,infl,realint,gdp_growth_pct,consumption_share_pct,investment_share_pct,real_rate_gap
1959-03-31,1959Q1,1959,1,2710.349,1707.4,286.898,470.045,1886.9,28.98,139.7,2.82,5.8,177.146,0.0,0.0,,62.99557732233008,10.585278869990544,0.0
1959-06-30,1959Q2,1959,2,2778.801,1733.7,310.859,481.301,1919.7,29.15,141.7,3.08,5.1,177.83,2.34,0.74,2.525578809223461,62.39021793931988,11.186803229162505,-1.5999999999999999
1959-09-30,1959Q3,1959,3,2775.488,1751.8,289.226,491.26,1916.4,29.35,140.5,3.82,5.3,178.657,2.74,1.09,-0.11922408261693107,63.11682846403948,10.420726012866927,-1.6500000000000001
1959-12-31,1959Q4,1959,4,2785.204,1753.7,299.356,484.052,1931.3,29.37,140.0,4.33,5.6,179.386,0.27,4.06,0.3500645652224188,62.964867205418344,10.748081648597372,3.7899999999999996
1960-03-31,1960Q1,1960,1,2847.699,1770.5,331.722,462.199,1955.5,29.54,139.6,3.5,5.2,180.007,2.31,1.19,2.2438212784413603,62.173003537241826,11.64877327273704,-1.12
1960-06-30,1960Q2,1960,2,2834.39,1792.9,298.152,460.4,1966.1,29.55,140.2,2.68,5.2,180.671,0.14,2.55,-0.46735978767419306,63.25523304838079,10.519088763367074,2.4099999999999997
1960-09-30,1960Q3,1960,3,2839.022,1785.8,296.375,474.676,1967.8,29.75,140.9,2.36,5.6,181.528,2.7,-0.34,0.16342140636962377,62.90194299304479,10.4393343905049,-3.04
1960-12-31,1960Q4,1960,4,2802.616,1788.2,259.764,476.434,1966.6,29.84,141.1,2.29,6.3,182.287,1.21,1.08,-1.2823430040344808,63.80467391893859,9.268626169264715,-0.1299999999999999
1961-03-31,1961Q1,1961,1,2819.264,1787.7,266.405,475.854,1984.5,29.81,142.1,2.37,6.8,182.992,-0.4,2.77,0.5940164474904863,63.410166625048234,9.44945205557195,3.17
1961-06-30,1961Q2,1961,2,2872.005,1814.3,286.246,480.328,2014.4,29.92,142.9,2.29,7.0,183.691,1.47,0.81,1.8707364759029232,63.171895592103766,9.966765378193978,-0.6599999999999999
1961-09-30,1961Q3,1961,3,2918.419,1823.1,310.227,493.828,2041.9,29.98,144.1,2.32,6.8,184.524,0.8,1.52,1.6160835374590121,62.46875448659017,10.62996780105941,0.72
1961-12-31,1961Q4,1961,4,2977.83,1859.6,315.463,502.521,2082.0,30.04,145.2,2.6,6.2,185.242,0.8,1.8,2.035725507543651,62.44815855841333,10.593720931013523,1.0
1962-03-31,1962Q1,1962,1,3031.241,1879.4,334.271,520.96,2101.7,30.21,146.4,2.73,5.6,185.874,2.26,0.47,1.7936215297716718,62.00100882773756,11.027529648747823,-1.7899999999999998
1962-06-30,1962Q2,1962,2,3064.709,1902.5,331.039,523.066,2125.2,30.22,146.5,2.78,5.5,186.538,0.13,2.65,1.1041022472314088,62.077671974729085,10.801645441704254,2.52
1962-09-30,1962Q3,1962,3,3093.047,1917.9,336.962,538.838,2137.0,30.38,146.7,2.78,5.6,187.323,2.11,0.67,0.9246554893139969,62.00681722586175,10.894176519141158,-1.44
1962-12-31,1962Q4,1962,4,3100.563,1945.1,325.65,535.912,2154.6,30.44,148.3,2.87,5.5,188.013,0.79,2.08,0.24299663083038325,62.733768028580606,10.502931241842205,1.29
1963-03-31,1963Q1,1963,1,3141.087,1958.2,343.721,522.917,2172.5,30.48,149.7,2.9,5.8,188.58,0.53,2.38,1.3069884404864451,62.341476055900394,10.942740522627995,1.8499999999999999
1963-06-30,1963Q2,1963,2,3180.447,1976.9,348.73,518.108,2193.1,30.69,151.3,3.03,5.7,189.242,2.75,0.29,1.253069399223894,62.15792937282087,10.964810921232141,-2.46
1963-09-30,1963Q3,1963,3,3240.332,2003.8,360.102,546.893,2217.9,30.75,152.6,3.38,5.5,190.028,0.78,2.6,1.8829114272301828,61.83934238837255,11.113120507404796,1.82
1963-12-31,1963Q4,1963,4,3264.967,2020.6,364.534,532.383,2254.6,30.94,153.7,3.52,5.6,190.668,2.46,1.06,0.760261602823431,61.887302383148125,11.165013306413202,-1.4
1964-03-31,1964Q1,1964,1,3338.246,2060.5,379.523,529.686,2299.6,30.95,154.8,3.51,5.5,191.245,0.13,3.38,2.2444024702240384,61.724031122931024,11.368934464386388,3.25
1964-06-30,1964Q2,1964,2,3376.587,2096.7,377.778,526.175,2362.1,31.02,156.8,3.47,5.2,191.889,0.9,2.57,1.1485372857482634,62.095245879937345,11.188161300153084,1.67
1964-09-30,1964Q3,1964,3,3422.469,2135.2,386.754,522.008,2392.7,31.12,159.2,3.53,5.0,192.631,1.29,2.25,1.35882771567859,62.3877089902056,11.300438367739781,0.96
1964-12-31,1964Q4,1964,4,3431.957,2141.2,389.91,514.603,2420.4,31.28,160.7,3.76,5.0,193.223,2.05,1.71,0.2772267623169178,62.39005908290809,11.361156331504155,-0.33999999999999986
1965-03-31,1965Q1,1965,1,3516.251,2188.8,429.145,508.006,2447.4,31.38,162.0,3.93,4.9,193.709,1.28,2.65,2.456149654555695,62.248115962142634,12.20461792972117,1.3699999999999999
1965-06-30,1965Q2,1965,2,3563.96,2213.0,429.119,508.931,2474.5,31.58,163.1,3.84,4.7,194.303,2.54,1.3,1.3568144026123274,62.09385066050124,12.040511116847552,-1.24
1965-09-30,1965Q3,1965,3,3636.285,2251.0,444.444,529.446,2542.6,31.65,166.0,3.93,4.4,194.997,0.89,3.04,2.029343763678604,61.903838670511256,12.222474311006977,2.15
1965-12-31,1965Q4,1965,4,3724.014,2314.3,446.493,544.121,2594.1,31.88,169.1,4.35,4.1,195.539,2.9,1.46,2.412599672467919,62.14530879851687,11.989562874897892,-1.44
1966-03-31,1966Q1,1966,1,3815.423,2348.5,484.244,556.593,2618.4,32.28,171.8,4.62,3.9,195.999,4.99,-0.37,2.4545826089805045,61.55280816832105,12.691751347098343,-5.36
1966-06-30,1966Q2,1966,2,3828.124,2354.5,475.408,571.371,2624.7,32.45,170.3,4.65,3.8,196.56,2.1,2.55,0.3328857639113725,61.505322189145396,12.418824468590884,0.44999999999999973
1966-09-30,1966Q3,1966,3,3853.301,2381.5,470.697,594.514,2657.8,32.85,171.2,5.23,3.8,197.207,4.9,0.33,0.6576850697626258,61.80415181684483,12.215422568857196,-4.57
1966-12-31,1966Q4,1966,4,3884.52,2391.4,472.957,599.528,2688.2,32.9,171.9,5.0,3.7,197.736,0.61,4.39,0.810188459193828,61.562303708051445,12.17542965411428,3.78
1967-03-31,1967Q1,1967,1,3918.74,2405.3,460.007,640.682,2728.4,33.1,174.2,4.22,3.8,198.206,2.42,1.8,0.8809325219074626,61.379422977793894,11.738645585060505,-0.6199999999999999
1967-06-30,1967Q2,1967,2,3919.556,2438.1,440.393,631.43,2750.8,33.4,178.1,3.78,3.8,198.712,3.61,0.17,0.0208230196440784,62.20347406696064,11.235787931081989,-3.44
1967-09-30,1967Q3,1967,3,3950.826,2450.6,453.033,641.504,2777.1,33.7,181.6,4.42,3.8,199.311,3.58,0.84,0.7977944440645812,62.027535507764696,11.466792007544752,-2.74
1967-12-31,1967Q4,1967,4,3980.97,2465.7,462.834,640.234,2797.4,34.1,184.3,4.9,3.9,199.808,4.72,0.18,0.762979690829213,61.93716606756644,11.626161463160988,-4.54
1968-03-31,1968Q1,1968,1,4063.013,2524.6,472.907,651.378,2846.2,34.4,186.6,5.18,3.7,200.208,3.5,1.67,2.0608796348628555,62.13615363770679,11.639317915054665,-1.83
1968-06-30,1968Q2,1968,2,4131.998,2563.3,492.026,646.145,2893.5,34.9,190.5,5.5,3.5,200.706,5.77,-0.28,1.6978779048947068,62.03536400550049,11.907701794628169,-6.05
1968-09-30,1968Q3,1968,3,4160.267,2611.5,476.053,640.615,2899.3,35.3,194.0,5.21,3.5,201.29,4.56,0.65,0.6841484434406908,62.77241340519731,11.442847298021979,-3.9099999999999997
